Serial,Bad Mood,Good Mood Target,Default 60-Second Action,Column1
1,Scared,Safe / Peaceful,"Put both feet on the floor. Look around and name 5 things you can see. Say: “Right now, I am safe enough.”","I would remove the word ""enough"""
2,Anxious,Peaceful,Breathe in for 4 and out for 6. Repeat 6 times. Make the exhale longer than the inhale.,"Maybe look into box breathing, https://www.healthline.com/health/box-breathing#getting-started"
3,Insecure,Confident,"Sit or stand taller. Name 3 things you have handled before, even if they were hard.",
4,Weak,Powerful,Press your feet into the floor and ask: “What is one tiny thing I can control in the next 10 minutes?”,"Maybe ""Place your feet firmly into the ground/floor…."""
5,Rejected,Accepted,Place one hand on your chest. Say: “One person’s response is not my worth.”,
6,Threatened,Safe / Trusting,"Relax your jaw and shoulders. Ask: “Is this danger happening now, or is my body remembering danger?”","The words ""danger"" and ""threatened"" can be seen related to violence, domestic vioden and similar. It's a trocky area to go into. Consider words like ""It is safe for me to be here"" - think about it"
7,Let down,Hopeful,"Say: “This disappointed me, but it does not close every door.” Name one next option.",
8,Humiliated,Respected,Sit upright. Say: “I can respect myself even if someone else did not.”,"Maybe ""Right here, right now, I completely love and respect/accept myself"""
9,Bitter,Free,Ask: “What am I tired of carrying?” Imagine putting that burden down for 60 seconds.,
10,Mad,Powerful,"Do 10 slow wall pushes. Channel the heat into strength, not explosion.","Maybe ""Angry"""
11,Aggressive,Peaceful / Powerful,Step back physically if possible. Unclench your hands. Say: “I can be strong without attacking.”,"""Take a deep breathe and say ""I am strong just the way I am"""
12,Frustrated,Capable / Confident,"Ask: “What is the next smallest step?” Do only that step, not the whole problem.",
13,Distant,Connected / Accepted,Send one simple message or think of one person you do not have to perform for.,
14,Critical,Curious,Replace “What is wrong with this?” with “What is this trying to show me?”,"""what am I not seeing?"""
15,Disapproving,Understanding / Curious,Say: “I do not have to agree to understand.” Find one possible reason behind the behaviour.,
16,Uncomfortable,Peaceful,"Scan your body. Name the exact sensation: tight chest, hot face, heavy stomach.",
17,Awful,Hopeful,"Say: “This is a moment, not my whole life.” Look for one thing still okay right now.","""This is temporary,…."""
18,Repelled,Free / Boundaried,Take one step back or lean back. Say: “My no is allowed.”,
19,Hurt,Cared for / Valued,Put your hand where you feel the hurt. Say: “This matters because I matter.”,
20,Depressed,Hopeful,"Open curtains, drink water, or step outside for 60 seconds. Tiny movement first.","""listen to music"""
21,Guilty,Responsible / Proud,"Ask: “Is there one repair I can make?” If yes, choose one small honest action.",
22,Despair,Hopeful,Name one thing that helped you survive a previous hard time. Repeat: “I only need the next minute.”,
23,Vulnerable,Trusting,Say: “Vulnerable does not mean unsafe.” Choose one safe boundary or one safe person.,
24,Lonely,Connected / Accepted,Send a low-pressure message: “Thinking of you. Hope you’re okay.” No big explanation needed.,
25,Tired,Rested / Peaceful,Close your eyes for 60 seconds. Drop your shoulders. Ask: “What can wait?”,
26,Stressed,Calm / Powerful,Write the 3 things stressing you. Circle only the one you can act on today.,"""Write 3 things that is stressful at the moment, Choose one thing, you can do today"""
27,Busy,Content / In control,"Say: “Busy is not the same as productive.” Pick one task to pause, delete or delay.",
28,Bored,Curious / Interested,"Ask: “What would make this 5% more interesting?” Change location, music, order, or method.",
